Year and Quarter,Topic,Topic Subgroup,Indicator,Race Ethnicity Category,Rate,Unit,Significant
2021 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,14.50,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,22.00,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,23.00,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.80,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,62.10,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,81.70,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,81.90,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,52.50,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,90.50,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,104.20,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,92.40,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,88.60,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,93.90,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,92.70,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,78.80,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,98.00,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,50.90,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,52.60,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,46.60,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,49.60,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,11.40,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,13.80,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,12.30,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,9.90,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,0.90,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,0.90,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.10,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.70,"per 1,000 population",
2021 Q1,Birth Rates,General Fertility Rates,15-44 years,All races and origins,55.00,"per 1,000 population",
2021 Q1,Birth Rates,General Fertility Rates,15-44 years,Hispanic,61.50,"per 1,000 population",
2021 Q1,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,57.70,"per 1,000 population",
2021 Q1,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,52.70,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,5.90,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,9.80,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,10.10,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.30,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,27.40,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,40.90,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,41.90,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,19.40,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,14.50,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,22.00,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,23.00,"per 1,000 population",
2021 Q1,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,9.80,"per 1,000 population",
2021 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.26,per 100 births,
2021 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.46,per 100 births,
2021 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.25,per 100 births,
2021 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,6.83,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.72,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.56,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.83,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.22,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.44,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.36,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.62,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,6.93,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.16,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,9.92,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.45,per 100 births,
2021 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.15,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,27.93,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,29.10,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,31.44,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,26.13,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,56.83,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,56.46,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,50.25,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,58.90,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,5.08,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.52,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.86,per 100 births,
2021 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.81,per 100 births,
2021 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,31.90,per 100 births,
2021 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.50,per 100 births,
2021 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.60,per 100 births,
2021 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,30.80,per 100 births,
2021 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.00,per 100 births,
2021 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.40,per 100 births,
2021 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,31.00,per 100 births,
2021 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.00,per 100 births,
2021 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,13.90,per 100 births,
2021 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,13.30,per 100 births,
2021 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,13.60,per 100 births,
2021 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,14.10,per 100 births,
2021 Q1,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.40,per 100 births,
2021 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.80,per 100 births,
2021 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,12.90,per 100 births,
2021 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,8.80,per 100 births,
2021 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.90,per 100 births,
2021 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.50,per 100 births,
2021 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.60,per 100 births,
2021 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,29.20,per 100 births,
2020 Q4,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,15.40,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,23.50,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,24.40,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,10.40,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,63.00,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,83.20,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,83.70,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,53.00,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,90.20,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,104.50,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,92.90,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,87.60,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,94.90,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,94.40,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,80.00,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,98.30,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,51.80,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,53.90,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,47.60,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,50.10,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,11.80,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,14.30,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,12.70,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.20,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,0.90,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.00,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.10,"per 1,000 population",
2020 Q4,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.70,"per 1,000 population",
2020 Q4,Birth Rates,General Fertility Rates,15-44 years,All races and origins,56.00,"per 1,000 population",
2020 Q4,Birth Rates,General Fertility Rates,15-44 years,Hispanic,63.10,"per 1,000 population",
2020 Q4,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,59.20,"per 1,000 population",
2020 Q4,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,53.20,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,6.30,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,10.50,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,10.80,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.50,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,28.90,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,43.30,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,43.90,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,20.50,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,15.40,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,23.50,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,24.40,"per 1,000 population",
2020 Q4,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,10.40,"per 1,000 population",
2020 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.24,per 100 births,
2020 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.40,per 100 births,
2020 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.19,per 100 births,
2020 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,6.84,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.70,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.52,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.82,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.21,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.40,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.32,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.54,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,6.90,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.09,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,9.84,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.36,per 100 births,
2020 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.10,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,27.78,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,29.00,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,31.22,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,25.98,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,57.00,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,56.61,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,50.47,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,59.08,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,5.12,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.56,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.95,per 100 births,
2020 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.84,per 100 births,
2020 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,31.80,per 100 births,
2020 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.40,per 100 births,
2020 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.30,per 100 births,
2020 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,30.80,per 100 births,
2020 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,25.90,per 100 births,
2020 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.10,per 100 births,
2020 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,30.60,per 100 births,
2020 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,24.90,per 100 births,
2020 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,13.90,per 100 births,
2020 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,13.40,per 100 births,
2020 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,13.70,per 100 births,
2020 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,14.00,per 100 births,
2020 Q4,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.30,per 100 births,
2020 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.70,per 100 births,
2020 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,12.70,per 100 births,
2020 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,8.70,per 100 births,
2020 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,42.00,per 100 births,
2020 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.60,per 100 births,
2020 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.70,per 100 births,
2020 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,29.30,per 100 births,
2020 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,15.80,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,24.00,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,24.80,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,10.70,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,64.10,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,84.50,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,85.50,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,53.90,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,91.30,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,105.80,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,94.50,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,88.40,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,96.30,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,95.10,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,81.20,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,99.70,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,52.60,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,54.60,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,48.00,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,50.80,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.00,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,14.60,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,12.80,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.40,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,1.00,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.00,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.10,"per 1,000 population",
2020 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.80,"per 1,000 population",
2020 Q3,Birth Rates,General Fertility Rates,15-44 years,All races and origins,56.80,"per 1,000 population",
2020 Q3,Birth Rates,General Fertility Rates,15-44 years,Hispanic,63.90,"per 1,000 population",
2020 Q3,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,60.10,"per 1,000 population",
2020 Q3,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,54.00,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,6.40,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,10.80,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,10.80,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.60,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,29.60,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,44.20,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,44.90,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,21.00,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,15.80,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,24.00,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,24.80,"per 1,000 population",
2020 Q3,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,10.70,"per 1,000 population",
2020 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.29,per 100 births,
2020 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.45,per 100 births,
2020 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.17,per 100 births,
2020 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,6.89,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.72,per 100 births,
